https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume USD
1651953600000,2022-05-07 20:00:00,UST/USD,0.998,0.998,0.996,0.996,3773.500503,3758.406500988
1651950000000,2022-05-07 19:00:00,UST/USD,0.999,1.001,0.997,0.998,1182605.098345,1180239.8881483101
1651946400000,2022-05-07 18:00:00,UST/USD,0.999,0.999,0.996,0.999,49630.198511,49580.568312489006
1651942800000,2022-05-07 17:00:00,UST/USD,1.0,1.0,0.999,0.999,486557.164439,486070.607274561
1651939200000,2022-05-07 16:00:00,UST/USD,1.0,1.0,1.0,1.0,11223.154226,11223.154226
1651935600000,2022-05-07 15:00:00,UST/USD,1.0,1.0,0.999,1.0,22829.030965,22829.030965
1651932000000,2022-05-07 14:00:00,UST/USD,1.0,1.0,0.999,1.0,12533.729593,12533.729593
1651928400000,2022-05-07 13:00:00,UST/USD,0.999,1.0,0.999,1.0,2805.666923,2805.666923
1651924800000,2022-05-07 12:00:00,UST/USD,1.0,1.0,0.999,0.999,1491.287561,1489.796273439
1651921200000,2022-05-07 11:00:00,UST/USD,1.0,1.0,0.999,1.0,1675.257421,1675.257421
1651917600000,2022-05-07 10:00:00,UST/USD,0.999,1.0,0.999,1.0,128119.679518,128119.679518
1651914000000,2022-05-07 09:00:00,UST/USD,1.0,1.0,0.999,0.999,206.197648,205.991450352
1651910400000,2022-05-07 08:00:00,UST/USD,1.0,1.0,0.999,1.0,20464.142741,20464.142741
1651906800000,2022-05-07 07:00:00,UST/USD,0.999,1.001,0.999,1.0,4369.375329,4369.375329
1651903200000,2022-05-07 06:00:00,UST/USD,0.999,1.001,0.999,0.999,4002.943689,3998.9407453110002
1651899600000,2022-05-07 05:00:00,UST/USD,1.0,1.002,0.999,0.999,9341.761708,9332.419946292
1651896000000,2022-05-07 04:00:00,UST/USD,0.999,1.001,0.999,1.0,10031.754176,10031.754176
1651892400000,2022-05-07 03:00:00,UST/USD,1.0,1.001,0.999,0.999,5028.399376,5023.370976624
1651888800000,2022-05-07 02:00:00,UST/USD,1.0,1.004,0.999,1.0,48035.779778,48035.779778
1651885200000,2022-05-07 01:00:00,UST/USD,1.0,1.001,0.999,1.0,13416.362908,13416.362908
1651881600000,2022-05-07 00:00:00,UST/USD,1.0,1.0,0.999,1.0,15136.031405,15136.031405
1651878000000,2022-05-06 23:00:00,UST/USD,0.999,1.001,0.999,1.0,1141498.38664,1141498.38664
1651874400000,2022-05-06 22:00:00,UST/USD,1.0,1.0,0.999,0.999,31369.945969,31338.576023031
1651870800000,2022-05-06 21:00:00,UST/USD,1.0,1.0,0.999,1.0,31144.698388,31144.698388
1651867200000,2022-05-06 20:00:00,UST/USD,1.0,1.0,0.999,1.0,10110.536363,10110.536363
1651863600000,2022-05-06 19:00:00,UST/USD,1.0,1.0,0.998,1.0,1698.845969,1698.845969
1651860000000,2022-05-06 18:00:00,UST/USD,0.999,1.0,0.998,1.0,2125.515522,2125.515522
1651856400000,2022-05-06 17:00:00,UST/USD,1.0,1.0,0.998,0.999,20391.185804,20370.794618196
1651852800000,2022-05-06 16:00:00,UST/USD,1.0,1.0,0.999,1.0,121030.718578,121030.718578
1651849200000,2022-05-06 15:00:00,UST/USD,0.999,1.0,0.999,1.0,5024.022281,5024.022281
1651845600000,2022-05-06 14:00:00,UST/USD,0.998,1.0,0.998,0.999,10548.91969,10538.37077031
1651842000000,2022-05-06 13:00:00,UST/USD,1.001,1.001,0.998,0.998,50131.913012,50031.649185976
1651838400000,2022-05-06 12:00:00,UST/USD,1.0,1.001,0.999,1.001,1282.700547,1283.9832475469998
1651834800000,2022-05-06 11:00:00,UST/USD,0.999,1.001,0.999,1.0,23111.930148,23111.930148
1651831200000,2022-05-06 10:00:00,UST/USD,1.0,1.001,0.999,0.999,3248.130209,3244.882078791
1651827600000,2022-05-06 09:00:00,UST/USD,1.0,1.0,1.0,1.0,555.148262,555.148262
1651824000000,2022-05-06 08:00:00,UST/USD,1.0,1.0,1.0,1.0,452.891542,452.891542
1651820400000,2022-05-06 07:00:00,UST/USD,1.0,1.0,0.998,1.0,1021.086083,1021.086083
1651816800000,2022-05-06 06:00:00,UST/USD,1.0,1.001,0.999,1.0,10567.783998,10567.783998
1651813200000,2022-05-06 05:00:00,UST/USD,1.0,1.0,0.998,1.0,20923.508413,20923.508413
1651809600000,2022-05-06 04:00:00,UST/USD,0.999,1.0,0.999,1.0,1005.890049,1005.890049
1651806000000,2022-05-06 03:00:00,UST/USD,1.0,1.001,0.999,0.999,14751.121501,14736.370379499
1651802400000,2022-05-06 02:00:00,UST/USD,1.0,1.001,0.999,1.0,2488.504089,2488.504089
1651798800000,2022-05-06 01:00:00,UST/USD,0.999,1.0,0.999,1.0,2232.786233,2232.786233
1651795200000,2022-05-06 00:00:00,UST/USD,1.0,1.0,0.998,0.999,11704.496989,11692.792492011
1651791600000,2022-05-05 23:00:00,UST/USD,1.0,1.001,0.999,1.0,4753.153415,4753.153415
1651788000000,2022-05-05 22:00:00,UST/USD,1.0,1.0,0.999,1.0,1545.007784,1545.007784
1651784400000,2022-05-05 21:00:00,UST/USD,1.001,1.001,1.0,1.0,1133.024873,1133.024873
1651780800000,2022-05-05 20:00:00,UST/USD,0.999,1.001,0.997,1.001,64344.647124,64408.991771124
1651777200000,2022-05-05 19:00:00,UST/USD,1.0,1.001,0.998,0.999,204076.915019,203872.83810398102
1651773600000,2022-05-05 18:00:00,UST/USD,0.999,1.001,0.999,1.0,60709.285289,60709.285289
1651770000000,2022-05-05 17:00:00,UST/USD,1.0,1.001,0.998,0.999,28672.074499,28643.402424500997
1651766400000,2022-05-05 16:00:00,UST/USD,0.999,1.0,0.998,1.0,329206.37594,329206.37594
1651762800000,2022-05-05 15:00:00,UST/USD,0.999,1.001,0.999,0.999,113950.039137,113836.089097863
1651759200000,2022-05-05 14:00:00,UST/USD,1.0,1.001,0.999,0.999,11784.593131,11772.808537869
1651755600000,2022-05-05 13:00:00,UST/USD,1.0,1.001,1.0,1.0,64708.877178,64708.877178
1651752000000,2022-05-05 12:00:00,UST/USD,0.999,1.001,0.999,1.0,3275.284572,3275.284572
1651748400000,2022-05-05 11:00:00,UST/USD,1.0,1.001,0.999,0.999,4479.514082,4475.034567918
1651744800000,2022-05-05 10:00:00,UST/USD,0.999,1.001,0.999,1.0,290.976919,290.976919
