https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume USD
1651820400000,2022-05-06 07:00:00,LUNA/USD,80.47,80.66,79.0,80.34,1723.991098,138505.44481332
1651816800000,2022-05-06 06:00:00,LUNA/USD,80.95,81.12,80.45,80.47,161.211896,12972.721271119999
1651813200000,2022-05-06 05:00:00,LUNA/USD,80.57,81.27,80.4,80.95,582.927325,47187.96695875
1651809600000,2022-05-06 04:00:00,LUNA/USD,80.81,80.96,80.17,80.57,530.755935,42763.005682949995
1651806000000,2022-05-06 03:00:00,LUNA/USD,81.08,81.18,80.51,80.81,5094.631702,411697.18783862
1651802400000,2022-05-06 02:00:00,LUNA/USD,80.92,81.56,80.78,81.08,5626.221292,456174.02235536
1651798800000,2022-05-06 01:00:00,LUNA/USD,81.83,82.04,80.84,80.92,1488.034607,120411.76039844
1651795200000,2022-05-06 00:00:00,LUNA/USD,82.37,82.94,81.0,81.83,9643.991549,789167.82845467
1651791600000,2022-05-05 23:00:00,LUNA/USD,82.28,82.94,82.21,82.37,1166.395608,96076.00623096
1651788000000,2022-05-05 22:00:00,LUNA/USD,82.55,83.43,82.24,82.28,467.812333,38491.598759240005
1651784400000,2022-05-05 21:00:00,LUNA/USD,81.91,82.57,81.5,82.55,1347.883879,111267.81421145
1651780800000,2022-05-05 20:00:00,LUNA/USD,81.48,81.91,80.71,81.91,1721.089144,140974.41178504
1651777200000,2022-05-05 19:00:00,LUNA/USD,80.15,81.54,79.0,81.48,24450.292015,1992209.7933822
1651773600000,2022-05-05 18:00:00,LUNA/USD,80.45,80.7,78.66,80.15,21835.960945,1750152.26974175
1651770000000,2022-05-05 17:00:00,LUNA/USD,81.37,81.77,80.45,80.45,6415.069579,516092.34763055004
1651766400000,2022-05-05 16:00:00,LUNA/USD,79.71,81.75,79.46,81.37,7661.734111,623435.30461207
1651762800000,2022-05-05 15:00:00,LUNA/USD,81.83,81.96,78.91,79.71,10319.541394,822570.6445157399
1651759200000,2022-05-05 14:00:00,LUNA/USD,83.96,84.07,81.66,81.83,4148.466188,339468.98816404
1651755600000,2022-05-05 13:00:00,LUNA/USD,85.61,85.61,83.77,83.96,5680.681887,476950.05123251997
